category,model,PCK@0.05,PCK@0.10,PCK@0.15,PCK@0.20
Mugs,REAL,0.5791984732824428,0.8711832061068703,0.9122137404580153,0.9236641221374046
Mugs,RANDOM_TEXTURES,0.7056030389363722,0.8803418803418803,0.9173789173789174,0.9373219373219374
Mugs,PROMPT_GEMINI,0.6609686609686609,0.8746438746438746,0.9211775878442545,0.949667616334283
Shoes,REAL,0.6737668161434978,0.804932735426009,0.8452914798206278,0.8621076233183856
Shoes,RANDOM_TEXTURES,0.8438538205980066,0.9457364341085271,0.9623477297895903,0.9723145071982281
Shoes,PROMPT_GEMINI,0.7951273532668881,0.9114064230343301,0.9302325581395349,0.9457364341085271
Tshirts,REAL,0.8347698129072945,0.8742905192348118,0.8993062854740382,0.917595122976666
Tshirts,RANDOM_TEXTURES,0.7300292764533668,0.7896277708071936,0.8387703889585947,0.8665830196570473
Tshirts,PROMPT_GEMINI,0.7009404388714734,0.7504702194357367,0.7941483803552769,0.8282131661442006
